Date,Open,High,Low,Close*,Adj Close**,Volume
11/28/2011,"11,232.47","11,562.10","11,232.16","11,523.01","11,523.01","204,950,000"
11/25/2011,"11,251.88","11,361.47","11,231.43","11,231.65","11,231.65","87,480,000"
11/23/2011,"11,492.74","11,492.82","11,257.55","11,257.55","11,257.55","152,220,000"
11/22/2011,"11,542.39","11,571.75","11,433.97","11,493.72","11,493.72","148,570,000"
11/21/2011,"11,795.55","11,795.70","11,454.07","11,547.31","11,547.31","170,960,000"
11/18/2011,"11,768.98","11,854.81","11,755.82","11,796.16","11,796.16","181,240,000"
11/17/2011,"11,905.67","11,948.43","11,676.35","11,770.73","11,770.73","169,830,000"
11/16/2011,"12,084.74","12,109.03","11,890.57","11,905.59","11,905.59","166,220,000"
11/15/2011,"12,077.92","12,165.11","12,001.26","12,096.16","12,096.16","14,510,000"
11/14/2011,"12,153.00","12,170.56","12,027.03","12,078.98","12,078.98","119,610,000"
11/11/2011,"11,896.28","12,179.72","11,896.28","12,153.68","12,153.68","134,520,000"
11/10/2011,"11,780.03","11,961.14","11,779.88","11,893.86","11,893.86","165,250,000"
11/9/2011,"12,166.40","12,166.40","11,736.93","11,780.94","11,780.94","180,200,000"
11/8/2011,"12,055.52","12,187.51","12,002.17","12,170.18","12,170.18","144,950,000"
11/7/2011,"11,983.02","12,074.44","11,880.69","12,068.39","12,068.39","122,110,000"
11/4/2011,"12,043.41","12,043.49","11,850.31","11,983.24","11,983.24","126,150,000"
11/3/2011,"11,835.59","12,065.93","11,835.43","12,044.47","12,044.47","158,170,000"
11/2/2011,"11,658.49","11,876.83","11,658.49","11,836.04","11,836.04","154,140,000"
11/1/2011,"11,951.53","11,951.76","11,630.03","11,657.96","11,657.96","218,290,000"
10/31/2011,"12,229.22","12,229.29","11,954.41","11,955.01","11,955.01","185,790,000"
10/28/2011,"12,207.34","12,251.92","12,164.24","12,231.11","12,231.11","163,620,000"
10/27/2011,"11,872.07","12,284.31","11,872.07","12,208.55","12,208.55","251,640,000"
10/26/2011,"11,707.76","11,891.21","11,694.36","11,869.04","11,869.04","183,730,000"
10/25/2011,"11,912.63","11,912.86","11,682.52","11,706.62","11,706.62","161,450,000"
10/24/2011,"11,807.96","11,940.75","11,805.77","11,913.62","11,913.62","161,870,000"
10/21/2011,"11,543.22","11,812.46","11,542.84","11,808.79","11,808.79","264,000,000"
10/20/2011,"11,502.13","11,581.25","11,391.14","11,541.78","11,541.78","166,100,000"
10/19/2011,"11,577.54","11,633.70","11,469.17","11,504.62","11,504.62","169,580,000"
10/18/2011,"11,396.17","11,652.74","11,296.12","11,577.05","11,577.05","201,410,000"
10/17/2011,"11,643.35","11,643.35","11,378.35","11,397.00","11,397.00","140,360,000"
10/14/2011,"11,478.97","11,646.83","11,478.66","11,644.49","11,644.49","133,570,000"
10/13/2011,"11,518.09","11,518.09","11,377.82","11,478.13","11,478.13","143,990,000"
10/12/2011,"11,417.36","11,625.30","11,417.28","11,518.85","11,518.85","188,130,000"
